pflanzen_id,deutscher_name,facet,canonical,ist_stil
KR000001,Petersilie,laenderkueche,deutsch,0
KR000001,Petersilie,laenderkueche,französisch,0
KR000001,Petersilie,laenderkueche,mediterran,0
KR000001,Petersilie,laenderkueche,nahöstlich,0
KR000001,Petersilie,passt_zu,Kartoffel,
KR000001,Petersilie,passt_zu,Ei,
KR000001,Petersilie,passt_zu,Fisch,
KR000001,Petersilie,passt_zu,Geflügel,
KR000001,Petersilie,passt_zu,Gemüse,
KR000001,Petersilie,passt_zu,Quark,
KR000001,Petersilie,passt_zu,Butter,
KR000001,Petersilie,kombiniert_mit,Schnittlauch,
KR000001,Petersilie,kombiniert_mit,Dill,
KR000001,Petersilie,kombiniert_mit,Kerbel,
KR000001,Petersilie,kombiniert_mit,Knoblauch,
KR000001,Petersilie,kombiniert_mit,Zitrone,
KR000002,Schnittlauch,laenderkueche,deutsch,0
KR000002,Schnittlauch,laenderkueche,französisch,0
KR000002,Schnittlauch,laenderkueche,osteuropäisch,0
KR000002,Schnittlauch,passt_zu,Ei,
KR000002,Schnittlauch,passt_zu,Kartoffel,
KR000002,Schnittlauch,passt_zu,Quark,
KR000002,Schnittlauch,passt_zu,Frischkäse,
KR000002,Schnittlauch,passt_zu,Fisch,
KR000002,Schnittlauch,passt_zu,Gurke,
KR000002,Schnittlauch,kombiniert_mit,Petersilie,
KR000002,Schnittlauch,kombiniert_mit,Dill,
KR000002,Schnittlauch,kombiniert_mit,Kerbel,
KR000002,Schnittlauch,kombiniert_mit,Estragon,
KR000003,Dill,laenderkueche,skandinavisch,0
KR000003,Dill,laenderkueche,osteuropäisch,0
KR000003,Dill,laenderkueche,deutsch,0
KR000003,Dill,laenderkueche,baltisch,0
KR000003,Dill,passt_zu,Gurke,
KR000003,Dill,passt_zu,Fisch,
KR000003,Dill,passt_zu,Kartoffel,
KR000003,Dill,passt_zu,Joghurt,
KR000003,Dill,passt_zu,Senf,
KR000003,Dill,passt_zu,Zucchini,
KR000003,Dill,kombiniert_mit,Schnittlauch,
KR000003,Dill,kombiniert_mit,Petersilie,
KR000003,Dill,kombiniert_mit,Senf,
KR000003,Dill,kombiniert_mit,Zitrone,
KR000004,Kerbel,laenderkueche,französisch,0
KR000004,Kerbel,laenderkueche,deutsch,0
KR000004,Kerbel,passt_zu,Ei,
KR000004,Kerbel,passt_zu,Kartoffel,
KR000004,Kerbel,passt_zu,Spargel,
KR000004,Kerbel,passt_zu,Geflügel,
KR000004,Kerbel,passt_zu,Fisch,
KR000004,Kerbel,passt_zu,Salat,
KR000004,Kerbel,kombiniert_mit,Petersilie,
KR000004,Kerbel,kombiniert_mit,Schnittlauch,
KR000004,Kerbel,kombiniert_mit,Estragon,
KR000005,Liebstöckel,laenderkueche,deutsch,0
KR000005,Liebstöckel,laenderkueche,österreichisch,0
KR000005,Liebstöckel,laenderkueche,osteuropäisch,0
KR000005,Liebstöckel,passt_zu,Kartoffel,
KR000005,Liebstöckel,passt_zu,Bohnen,
KR000005,Liebstöckel,passt_zu,Suppengemüse,
KR000005,Liebstöckel,passt_zu,Linse,
KR000005,Liebstöckel,passt_zu,Pilz,
KR000005,Liebstöckel,kombiniert_mit,Petersilie,
KR000005,Liebstöckel,kombiniert_mit,Sellerie,
KR000005,Liebstöckel,kombiniert_mit,Majoran,
KR000006,Koriander,laenderkueche,indisch,0
KR000006,Koriander,laenderkueche,mexikanisch,0
KR000006,Koriander,laenderkueche,südostasiatisch,0
KR000006,Koriander,laenderkueche,südostasiatisch,0
KR000006,Koriander,laenderkueche,nahöstlich,0
KR000006,Koriander,passt_zu,Limette,
KR000006,Koriander,passt_zu,Chili,
KR000006,Koriander,passt_zu,Kokos,
KR000006,Koriander,passt_zu,Hülsenfrüchte,
KR000006,Koriander,passt_zu,Huhn,
KR000006,Koriander,passt_zu,Fisch,
KR000006,Koriander,kombiniert_mit,Minze,
KR000006,Koriander,kombiniert_mit,Kreuzkümmel,
KR000006,Koriander,kombiniert_mit,Chili,
KR000006,Koriander,kombiniert_mit,Ingwer,
KR000006,Koriander,kombiniert_mit,Knoblauch,
KR000007,Basilikum,laenderkueche,italienisch,0
KR000007,Basilikum,laenderkueche,mediterran,0
KR000007,Basilikum,passt_zu,Tomate,
KR000007,Basilikum,passt_zu,Mozzarella,
KR000007,Basilikum,passt_zu,Zucchini,
KR000007,Basilikum,passt_zu,Aubergine,
KR000007,Basilikum,passt_zu,Pasta,
KR000007,Basilikum,passt_zu,Olivenöl,
KR000007,Basilikum,kombiniert_mit,Tomate,
KR000007,Basilikum,kombiniert_mit,Knoblauch,
KR000007,Basilikum,kombiniert_mit,Oregano,
KR000007,Basilikum,kombiniert_mit,Petersilie,
KR000008,Thai-Basilikum,laenderkueche,südostasiatisch,0
KR000008,Thai-Basilikum,laenderkueche,südostasiatisch,0
KR000008,Thai-Basilikum,laenderkueche,südostasiatisch,0
KR000008,Thai-Basilikum,passt_zu,Kokosmilch,
KR000008,Thai-Basilikum,passt_zu,Chili,
KR000008,Thai-Basilikum,passt_zu,Limette,
KR000008,Thai-Basilikum,passt_zu,Huhn,
KR000008,Thai-Basilikum,passt_zu,Aubergine,
KR000008,Thai-Basilikum,passt_zu,Tofu,
KR000008,Thai-Basilikum,kombiniert_mit,Koriander,
KR000008,Thai-Basilikum,kombiniert_mit,Chili,
KR000008,Thai-Basilikum,kombiniert_mit,Kaffernlimette,
KR000008,Thai-Basilikum,kombiniert_mit,Fischsauce,
KR000009,Zitronenbasilikum,laenderkueche,südostasiatisch,0
KR000009,Zitronenbasilikum,laenderkueche,mediterran,0
KR000009,Zitronenbasilikum,laenderkueche,international/modern,1
KR000009,Zitronenbasilikum,passt_zu,Fisch,
KR000009,Zitronenbasilikum,passt_zu,Garnelen,
KR000009,Zitronenbasilikum,passt_zu,Tomate,
KR000009,Zitronenbasilikum,passt_zu,Zucchini,
KR000009,Zitronenbasilikum,passt_zu,Beere,
KR000009,Zitronenbasilikum,passt_zu,Obstsalat,
KR000009,Zitronenbasilikum,kombiniert_mit,Zitrone,
KR000009,Zitronenbasilikum,kombiniert_mit,Minze,
KR000009,Zitronenbasilikum,kombiniert_mit,Koriander,
KR000009,Zitronenbasilikum,kombiniert_mit,Chili,
KR000010,Heiliges Basilikum,laenderkueche,indisch,0
KR000010,Heiliges Basilikum,laenderkueche,indisch,0
KR000010,Heiliges Basilikum,laenderkueche,südostasiatisch,0
KR000010,Heiliges Basilikum,passt_zu,Linse,
KR000010,Heiliges Basilikum,passt_zu,Kichererbsen,
KR000010,Heiliges Basilikum,passt_zu,Reisgerichte,
KR000010,Heiliges Basilikum,passt_zu,Chutneys,
KR000010,Heiliges Basilikum,kombiniert_mit,Ingwer,
KR000010,Heiliges Basilikum,kombiniert_mit,Chili,
KR000010,Heiliges Basilikum,kombiniert_mit,Kreuzkümmel,
KR000010,Heiliges Basilikum,kombiniert_mit,Kokosmilch,
KR000011,Oregano,laenderkueche,italienisch,0
KR000011,Oregano,laenderkueche,griechisch,0
KR000011,Oregano,laenderkueche,mediterran,0
KR000011,Oregano,passt_zu,Tomate,
KR000011,Oregano,passt_zu,Aubergine,
KR000011,Oregano,passt_zu,Lamm,
KR000011,Oregano,passt_zu,Käse,
KR000011,Oregano,passt_zu,Oliven,
KR000011,Oregano,passt_zu,Bohnen,
KR000011,Oregano,kombiniert_mit,Basilikum,
KR000011,Oregano,kombiniert_mit,Thymian,
KR000011,Oregano,kombiniert_mit,Rosmarin,
KR000011,Oregano,kombiniert_mit,Knoblauch,
KR000012,Majoran,laenderkueche,deutsch,0
KR000012,Majoran,laenderkueche,österreichisch,0
KR000012,Majoran,laenderkueche,mediterran,0
KR000012,Majoran,passt_zu,Kartoffel,
KR000012,Majoran,passt_zu,Schwein,
KR000012,Majoran,passt_zu,Bohnen,
KR000012,Majoran,passt_zu,Pilz,
KR000012,Majoran,passt_zu,Kohl,
KR000012,Majoran,kombiniert_mit,Petersilie,
KR000012,Majoran,kombiniert_mit,Liebstöckel,
KR000012,Majoran,kombiniert_mit,Thymian,
KR000013,Thymian,laenderkueche,französisch,0
KR000013,Thymian,laenderkueche,mediterran,0
KR000013,Thymian,passt_zu,Kartoffel,
KR000013,Thymian,passt_zu,Lamm,
KR000013,Thymian,passt_zu,Huhn,
KR000013,Thymian,passt_zu,Tomate,
KR000013,Thymian,passt_zu,Pilz,
KR000013,Thymian,passt_zu,Bohnen,
KR000013,Thymian,kombiniert_mit,Rosmarin,
KR000013,Thymian,kombiniert_mit,Oregano,
KR000013,Thymian,kombiniert_mit,Salbei,
KR000013,Thymian,kombiniert_mit,Knoblauch,
KR000014,Zitronenthymian,laenderkueche,französisch,0
KR000014,Zitronenthymian,laenderkueche,mediterran,0
KR000014,Zitronenthymian,laenderkueche,international/modern,1
KR000014,Zitronenthymian,passt_zu,Fisch,
KR000014,Zitronenthymian,passt_zu,Huhn,
KR000014,Zitronenthymian,passt_zu,Zucchini,
KR000014,Zitronenthymian,passt_zu,Möhre,
KR000014,Zitronenthymian,passt_zu,Zitronendesserts,
KR000014,Zitronenthymian,passt_zu,Kartoffel,
KR000014,Zitronenthymian,kombiniert_mit,Dill,
KR000014,Zitronenthymian,kombiniert_mit,Petersilie,
KR000014,Zitronenthymian,kombiniert_mit,Zitrone,
KR000014,Zitronenthymian,kombiniert_mit,Knoblauch,
KR000015,Quendel,laenderkueche,alpenländisch,0
KR000015,Quendel,laenderkueche,mediterran,0
KR000015,Quendel,passt_zu,Kartoffel,
KR000015,Quendel,passt_zu,Pilzgerichten,
KR000015,Quendel,passt_zu,Lamm,
KR000015,Quendel,passt_zu,Wild,
KR000015,Quendel,passt_zu,Kräuterbutter,
KR000015,Quendel,kombiniert_mit,Thymian,
KR000015,Quendel,kombiniert_mit,Rosmarin,
KR000015,Quendel,kombiniert_mit,Majoran,
KR000016,Rosmarin,laenderkueche,italienisch,0
KR000016,Rosmarin,laenderkueche,französisch,0
KR000016,Rosmarin,laenderkueche,mediterran,0
KR000016,Rosmarin,passt_zu,Kartoffel,
KR000016,Rosmarin,passt_zu,Lamm,
KR000016,Rosmarin,passt_zu,Huhn,
KR000016,Rosmarin,passt_zu,Focaccia,
KR000016,Rosmarin,passt_zu,Bohnen,
KR000016,Rosmarin,passt_zu,Kürbis,
